City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Phoenix,US,33.4484,-112.074,87.01,11,90,16.11,overcast clouds
1,Khatanga,RU,71.9667,102.5,-11.96,97,41,8.61,scattered clouds
2,Albany,US,42.6001,-73.9662,66.2,42,75,3.44,broken clouds
3,Mataura,NZ,-46.1927,168.8643,60.01,79,57,4.0,broken clouds
4,Vao,NC,-22.6667,167.4833,74.84,79,100,20.38,overcast clouds
5,Katsuura,JP,35.1333,140.3,52.0,38,77,1.99,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,78.33,69,8,5.68,clear sky
7,Birjand,IR,32.8663,59.2211,48.2,71,20,9.22,few clouds
8,Avarua,CK,-21.2078,-159.775,82.4,69,40,4.61,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,37.4,87,0,17.27,clear sky
10,Port Hardy,CA,50.6996,-127.4199,53.6,62,40,11.5,scattered clouds
11,Raga,SS,8.4596,25.678,76.78,10,7,2.53,clear sky
12,Ushuaia,AR,-54.8,-68.3,42.8,65,40,8.05,light intensity drizzle
13,Tayoltita,MX,24.0833,-105.9333,83.75,16,2,6.8,clear sky
14,Fortuna,US,40.5982,-124.1573,59.0,47,1,14.97,clear sky
15,Korla,CN,41.7597,86.1469,55.0,30,10,7.29,clear sky
16,Cap-Aux-Meules,CA,47.3821,-61.8597,33.8,93,12,12.66,few clouds
17,La Ciotat,FR,43.1748,5.6045,48.0,91,12,1.01,few clouds
18,Axim,GH,4.8699,-2.2405,79.54,85,100,5.93,light rain
19,Topchikha,RU,52.8192,83.1185,37.4,65,0,8.95,clear sky
20,Mar Del Plata,AR,-38.0023,-57.5575,66.99,72,0,4.61,clear sky
21,Roma,US,43.2128,-75.4557,64.4,32,40,5.35,scattered clouds
22,Salalah,OM,17.0151,54.0924,78.8,78,40,4.61,scattered clouds
23,Iqaluit,CA,63.7506,-68.5145,3.2,66,1,20.71,clear sky
24,Hermanus,ZA,-34.4187,19.2345,64.0,88,32,1.99,scattered clouds
25,Busselton,AU,-33.65,115.3333,62.58,65,98,3.67,overcast clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,86.0,19,1,9.22,clear sky
27,Torbay,CA,47.6666,-52.7314,34.0,93,90,10.36,overcast clouds
28,Loandjili,CG,-4.7561,11.8578,77.0,88,20,3.44,few clouds
29,Laguna,US,38.421,-121.4238,75.0,17,1,8.05,clear sky
30,Sao Filipe,CV,14.8961,-24.4956,76.8,58,36,16.44,scattered clouds
31,Tuatapere,NZ,-46.1333,167.6833,60.01,79,58,4.0,broken clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,90,6.91,overcast clouds
33,La Ronge,CA,55.1001,-105.2842,44.6,29,100,3.44,overcast clouds
34,Porto Novo,BJ,6.4965,2.6036,84.2,79,20,11.5,few clouds
35,Nanortalik,GL,60.1432,-45.2371,33.1,89,22,12.46,few clouds
36,Chuy,UY,-33.6971,-53.4616,62.26,83,0,8.21,clear sky
37,Pangody,RU,65.85,74.4859,35.74,99,100,16.2,overcast clouds
38,Codrington,AU,-38.2667,141.9667,58.35,73,82,14.47,broken clouds
39,Jamestown,US,42.097,-79.2353,48.2,43,1,9.22,clear sky
40,Georgetown,MY,5.4112,100.3354,79.0,88,20,1.14,few clouds
41,Saskylakh,RU,71.9167,114.0833,-1.66,95,63,4.03,broken clouds
42,Upernavik,GL,72.7868,-56.1549,-10.1,99,97,4.94,overcast clouds
43,Bluff,NZ,-46.6,168.3333,60.01,79,51,4.0,broken clouds
44,Esperance,AU,-33.8667,121.9,55.4,100,16,6.91,few clouds
45,Henties Bay,NA,-22.116,14.2845,79.0,29,0,5.01,clear sky
46,Hithadhoo,MV,-0.6,73.0833,81.7,68,41,2.01,scattered clouds
47,Bethel,US,41.3712,-73.414,66.2,42,90,9.22,overcast clouds
48,Seoul,KR,37.5683,126.9778,46.4,76,75,5.75,broken clouds
49,Abnub,EG,27.2696,31.1511,66.2,45,0,5.75,clear sky
50,Ilinskiy,RU,55.619,38.1182,54.0,61,92,4.7,overcast clouds
51,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,67,0,2.3,clear sky
52,Bitung,ID,1.4451,125.1824,77.0,94,20,3.8,few clouds
53,New Norfolk,AU,-42.7826,147.0587,53.01,69,82,5.99,light rain
54,Nuuk,GL,64.1835,-51.7216,21.2,93,90,18.41,light snow
55,Yakeshi,CN,49.2833,120.7333,34.03,52,88,6.06,overcast clouds
56,Longyearbyen,SJ,78.2186,15.6401,6.8,61,75,16.11,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,63.0,88,0,6.91,clear sky
58,Geraldton,AU,-28.7667,114.6,59.0,67,0,12.66,clear sky
59,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,73,0,9.22,clear sky
60,Venado Tuerto,AR,-33.7456,-61.9688,63.0,99,0,4.0,clear sky
61,Kapaa,US,22.0752,-159.319,78.8,61,40,16.11,scattered clouds
62,Guerrero Negro,MX,27.9769,-114.0611,62.42,64,64,20.27,broken clouds
63,Waddan,LY,29.1614,16.139,62.38,48,100,3.29,overcast clouds
64,Souillac,MU,-20.5167,57.5167,78.8,83,40,11.5,light rain
65,Carnarvon,AU,-24.8667,113.6333,74.57,44,0,19.26,clear sky
66,Kambove,CD,-10.8764,26.5969,58.33,97,98,3.44,overcast clouds
67,Belmonte,BR,-15.8631,-38.8828,73.4,83,75,4.61,broken clouds
68,Butaritari,KI,3.0707,172.7902,81.39,78,86,7.54,moderate rain
69,Dikson,RU,73.5069,80.5464,-21.3,100,100,5.97,overcast clouds
70,Sinnamary,GF,5.3833,-52.95,78.66,89,88,9.86,overcast clouds
71,Cockburn Town,TC,21.4612,-71.1419,75.2,60,20,13.8,few clouds
72,Mahebourg,MU,-20.4081,57.7,78.8,83,40,11.5,light rain
73,Hobart,AU,-42.8794,147.3294,57.2,51,20,21.85,light rain
74,Yellowknife,CA,62.456,-114.3525,42.8,39,1,5.75,clear sky
75,Barrow,US,71.2906,-156.7887,15.8,73,1,13.8,clear sky
76,Kruisfontein,ZA,-34.0033,24.7314,60.01,96,60,3.85,broken clouds
77,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,74.8,49,93,0.81,overcast clouds
78,Sayyan,YE,15.1718,44.3244,58.6,49,3,2.24,clear sky
79,Rundu,NA,-17.9333,19.7667,61.7,52,33,5.95,scattered clouds
80,Port Elizabeth,ZA,-33.918,25.5701,59.0,100,20,4.61,few clouds
81,Vicksburg,US,32.3526,-90.8779,64.4,88,90,5.75,mist
82,Nikolskoye,RU,59.7035,30.7861,37.99,69,0,4.47,clear sky
83,Adrar,MR,20.5022,-10.0711,77.14,19,42,11.92,scattered clouds
84,Port Blair,IN,11.6667,92.75,81.21,77,96,1.99,overcast clouds
85,Flin Flon,CA,54.7682,-101.865,42.8,19,20,4.61,few clouds
86,Lagoa,PT,39.05,-27.9833,60.85,87,91,10.8,overcast clouds
87,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.07,87,53,6.67,heavy intensity rain
88,Port Alfred,ZA,-33.5906,26.891,67.3,81,82,6.44,broken clouds
89,Payo,ID,-3.7508,103.6372,73.33,95,95,0.98,light rain
90,Andenes,NO,69.3143,16.1194,39.2,81,90,24.16,light rain
91,Qaanaaq,GL,77.484,-69.3632,-11.2,67,0,6.06,clear sky
92,Bobrovytsya,UA,50.75,31.3833,53.01,71,0,2.24,clear sky
93,Tasiilaq,GL,65.6145,-37.6368,33.8,93,90,12.66,overcast clouds
94,Poum,NC,-20.2333,164.0167,75.96,88,97,12.82,overcast clouds
95,Gravdal,NO,68.1214,13.5031,40.41,84,100,27.72,overcast clouds
96,Pevek,RU,69.7008,170.3133,3.49,74,29,4.34,scattered clouds
97,Union,US,40.6334,-74.2663,64.4,63,90,4.61,overcast clouds
98,Saldanha,ZA,-33.0117,17.9442,73.4,49,63,10.36,broken clouds
99,Lebu,CL,-37.6167,-73.65,56.34,92,66,4.9,broken clouds
100,Vaini,TO,-21.2,-175.2,80.6,74,40,8.05,scattered clouds
101,Walvis Bay,NA,-22.9575,14.5053,79.0,29,0,5.01,clear sky
102,Bredasdorp,ZA,-34.5322,20.0403,51.8,93,8,3.44,clear sky
103,Contamana,PE,-7.3333,-75.0167,74.23,96,100,0.63,overcast clouds
104,Andra,RU,62.5147,65.8878,43.25,88,83,12.86,broken clouds
105,Hilo,US,19.7297,-155.09,80.6,54,1,12.66,clear sky
106,Kailua,US,21.4022,-157.7394,82.4,61,40,13.8,scattered clouds
107,Aulnoye-Aymeries,FR,50.2014,3.8384,36.0,87,24,6.91,few clouds
108,College,US,64.8569,-147.8028,48.2,40,75,4.61,broken clouds
109,Newport,GB,51.5877,-2.9984,39.0,79,27,7.29,scattered clouds
110,Lompoc,US,34.6391,-120.4579,59.0,58,78,11.5,broken clouds
111,Wodonga,AU,-36.1167,146.8833,60.01,77,0,6.2,clear sky
112,Katherine,AU,-14.4667,132.2667,73.4,73,79,3.44,broken clouds
113,Faya,SA,18.3851,42.4509,64.4,55,0,2.53,clear sky
114,Voh,NC,-20.9667,164.7,77.18,90,89,5.57,light rain
115,Blatec,MK,41.8378,22.5781,35.33,86,42,3.2,scattered clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,83,40,2.3,scattered clouds
117,Aksay,RU,47.26,39.87,44.01,93,0,4.47,clear sky
118,Aklavik,CA,68.2191,-135.0107,30.2,55,90,4.61,overcast clouds
119,Ribeira Grande,PT,38.5167,-28.7,61.84,89,76,7.02,broken clouds
120,Vardo,NO,70.3705,31.1107,28.4,86,20,31.07,snow
121,Gornopravdinsk,RU,60.05,69.9,42.39,92,97,8.1,overcast clouds
122,Leningradskiy,RU,69.3833,178.4167,13.32,88,93,5.26,overcast clouds
123,Bowling Green,US,36.9903,-86.4436,57.2,58,90,3.11,overcast clouds
124,Ancud,CL,-41.8697,-73.8203,51.01,83,47,5.99,scattered clouds
125,Tahta,EG,26.7693,31.5021,69.8,28,0,5.75,clear sky
126,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,20,2.3,few clouds
127,Warri,NG,5.5167,5.75,78.21,91,100,3.4,overcast clouds
128,Bayir,TR,37.2687,28.2167,53.6,76,0,5.75,clear sky
129,Urengoy,RU,65.9667,78.3667,35.24,99,100,18.88,overcast clouds
130,Abalak,RU,58.1286,68.5944,42.06,95,25,6.02,scattered clouds
131,Grindavik,IS,63.8424,-22.4338,42.8,93,75,14.97,broken clouds
132,Bonfim,BR,3.0833,-59.95,80.28,79,73,4.03,broken clouds
133,Ponta Do Sol,PT,32.6667,-17.1,64.4,72,20,5.75,few clouds
134,East London,ZA,-33.0153,27.9116,69.31,78,70,5.35,broken clouds
135,Cherskiy,RU,68.75,161.3,14.4,67,32,4.74,scattered clouds
136,Saint-Georges,GD,12.0564,-61.7485,82.4,83,20,11.5,few clouds
137,Navalcarnero,ES,40.2891,-4.012,57.2,67,0,10.36,clear sky
138,Margate,GB,51.3813,1.3862,41.0,67,13,1.99,few clouds
139,Kanlagay,PH,5.8757,121.2915,81.88,78,82,7.09,broken clouds
140,Mayo,US,38.8876,-76.5119,57.2,94,90,5.75,light rain
141,Lorengau,PG,-2.0226,147.2712,84.51,66,54,6.38,broken clouds
142,Isangel,VU,-19.55,169.2667,85.23,65,20,2.35,few clouds
143,Antalya,TR,36.7741,30.7178,55.4,94,40,3.44,scattered clouds
144,Xining,CN,36.6167,101.7667,38.37,53,95,0.2,overcast clouds
145,Enumclaw,US,47.2043,-121.9915,68.0,37,2,4.0,clear sky
146,Thompson,CA,55.7435,-97.8558,39.2,20,40,3.44,scattered clouds
147,Yulara,AU,-25.2406,130.9889,64.4,55,75,10.36,broken clouds
148,Touros,BR,-5.1989,-35.4608,78.8,89,0,4.61,clear sky
149,Pali,IN,25.7667,73.3333,77.02,30,2,4.97,clear sky
150,Labuhan,ID,-6.8844,112.2051,78.48,83,84,7.56,broken clouds
151,Airai,TL,-8.9266,125.4092,66.34,51,39,3.15,scattered clouds
152,Northam,GB,51.0333,-4.2167,42.01,82,43,3.0,scattered clouds
153,Norman Wells,CA,65.282,-126.8329,44.6,45,75,20.71,broken clouds
154,Bengkulu,ID,-3.8004,102.2655,75.09,88,82,4.14,broken clouds
155,Puqi,CN,29.7167,113.8833,59.16,96,100,2.55,overcast clouds
156,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,20,2.3,few clouds
157,Lavrentiya,RU,65.5833,-171.0,28.96,93,100,2.1,light snow
158,Marrakesh,MA,31.6315,-8.0083,64.4,68,40,8.05,scattered clouds
159,Bagepalli,IN,13.7847,77.7931,66.2,100,75,2.3,broken clouds
160,Praia,CV,14.9215,-23.5087,73.4,60,0,20.71,clear sky
161,Portland,US,45.5234,-122.6762,70.0,18,1,8.05,clear sky
162,Wonthaggi,AU,-38.6044,145.5913,61.0,71,87,19.13,overcast clouds
163,Kurunegala,LK,7.4863,80.3623,77.0,88,20,3.44,few clouds
164,Helong,CN,42.5397,128.9972,49.57,23,7,7.65,clear sky
165,Palmer,US,42.1584,-72.3287,60.8,55,75,11.5,broken clouds
166,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,11.5,light rain
167,Ajdabiya,LY,30.7554,20.2263,61.84,74,70,12.19,broken clouds
168,Grandview,US,38.8858,-94.533,57.2,35,1,12.66,clear sky
169,Chicama,PE,-7.8447,-79.1469,68.0,83,40,13.8,scattered clouds
170,Matay,EG,28.419,30.7792,64.47,38,0,10.02,clear sky
171,Nabire,ID,-3.3667,135.4833,79.45,76,100,3.09,overcast clouds
172,Tiarei,PF,-17.5333,-149.3333,86.0,74,90,8.05,overcast clouds
173,San Juan,AR,-31.5375,-68.5364,72.59,36,0,9.35,clear sky
174,Kahului,US,20.8947,-156.47,80.6,50,40,18.41,scattered clouds
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.33,74,21,10.51,few clouds
176,Balkhash,KZ,46.844,74.9804,43.83,54,0,18.95,clear sky
177,Abbeville,FR,50.1,1.8333,36.0,82,7,6.04,clear sky
178,Meulaboh,ID,4.1363,96.1285,76.71,87,77,3.2,broken clouds
179,Hornepayne,CA,49.2138,-84.7705,34.72,95,100,9.89,overcast clouds
180,Kargasok,RU,59.0556,80.8572,35.11,99,100,6.93,overcast clouds
181,Samarai,PG,-10.6167,150.6667,80.04,81,100,10.63,overcast clouds
182,Haapiti,PF,-17.5667,-149.8667,86.0,74,90,8.05,overcast clouds
183,Tibu,CO,8.639,-72.7358,77.68,90,100,2.75,overcast clouds
184,Itarema,BR,-2.9248,-39.9167,79.54,82,38,11.27,scattered clouds
185,Constitucion,CL,-35.3333,-72.4167,56.07,92,25,10.54,scattered clouds
186,Kupang,ID,-10.1667,123.5833,79.48,76,34,4.83,scattered clouds
187,Adeje,ES,28.1227,-16.726,68.0,83,20,1.14,few clouds
188,Atuona,PF,-9.8,-139.0333,80.94,73,58,19.51,broken clouds
189,Roald,NO,62.5833,6.1333,39.2,75,90,9.22,overcast clouds
190,Port Augusta,AU,-32.5,137.7667,60.8,59,97,4.61,overcast clouds
191,Chapais,CA,49.7834,-74.8492,59.0,26,1,6.91,clear sky
192,Paamiut,GL,61.994,-49.6678,25.43,80,85,26.69,overcast clouds
193,Imeni Poliny Osipenko,RU,52.4201,136.4853,24.33,74,91,5.7,overcast clouds
194,Muyezerskiy,RU,63.9333,31.65,23.18,96,7,3.11,clear sky
195,Hamilton,US,39.1834,-84.5333,60.8,51,20,5.75,few clouds
196,Yumen,CN,40.2833,97.2,36.34,17,23,11.36,few clouds
197,Si Satchanalai,TH,17.5169,99.7598,73.4,88,40,2.3,scattered clouds
198,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,0,4.61,clear sky
199,Moanda,GA,-1.5575,13.2178,69.06,98,82,1.68,light rain
200,Charagua,BO,-19.8,-63.2167,78.26,47,54,10.16,broken clouds
201,Kavieng,PG,-2.5744,150.7967,84.0,66,43,6.11,scattered clouds
202,Kamaishi,JP,39.2667,141.8833,41.0,60,75,4.61,broken clouds
203,Nelson Bay,AU,-32.7167,152.15,73.0,49,0,6.91,clear sky
204,Kavaratti,IN,10.5669,72.642,83.1,69,5,2.37,clear sky
205,Lebedinyy,RU,58.5167,125.5167,22.68,93,100,8.37,snow
206,Port Moresby,PG,-9.4431,147.1797,82.4,69,40,9.22,haze
207,Usuki,JP,33.1081,131.7878,55.4,54,40,10.36,scattered clouds
208,Barcelona,ES,41.3888,2.159,54.0,76,0,4.61,clear sky
209,Narsaq,GL,60.9167,-46.05,33.8,75,20,4.61,few clouds
210,Rio Bravo,MX,25.9833,-98.1,93.2,46,40,11.5,scattered clouds
211,Cidreira,BR,-30.1811,-50.2056,71.64,68,38,18.32,scattered clouds
212,Baft,IR,29.234,56.6057,51.15,60,21,5.68,few clouds
213,Eureka,US,40.8021,-124.1637,59.0,62,1,17.27,clear sky
214,Hambantota,LK,6.1241,81.1185,79.11,81,100,5.59,overcast clouds
215,Richards Bay,ZA,-28.783,32.0377,74.71,88,55,9.1,broken clouds
216,Malanville,BJ,11.8685,3.3899,86.92,20,99,3.09,overcast clouds
217,Savannakhet,LA,16.566,104.751,80.89,68,59,4.41,broken clouds
218,Amapa,BR,1.0,-52.0,73.71,98,100,2.39,overcast clouds
219,Tabuk,PH,17.4189,121.4443,78.58,77,78,1.86,broken clouds
220,Pudozh,RU,61.8099,36.5345,28.02,95,100,2.98,overcast clouds
221,Matara,LK,5.9485,80.5353,77.14,86,94,0.89,overcast clouds
222,Chokurdakh,RU,70.6333,147.9167,4.86,87,65,5.57,broken clouds
223,Victoria,HK,22.2855,114.1577,73.0,92,97,21.59,overcast clouds
224,Tiksi,RU,71.6872,128.8694,10.09,93,92,0.89,overcast clouds
225,Warmbad,NA,-28.45,18.7333,78.42,22,0,10.42,clear sky
226,Hamburg,DE,53.55,10.0,35.01,100,0,1.14,clear sky
227,Kodiak,US,57.79,-152.4072,44.6,65,90,9.22,light rain
228,Kavadarci,MK,41.4331,22.0119,42.8,65,40,6.91,scattered clouds
